Step,v_ncross1,v_ncross2
0,500,500
1,828,838
2,1160,1112
3,1206,1151
4,1242,1169
5,1270,1198
6,1297,1220
7,1334,1262
8,1363,1300
9,1400,1324
10,1439,1368
11,1466,1403
12,1510,1443
13,1551,1486
14,1592,1521
15,1642,1572
16,1701,1628
17,1747,1677
18,1798,1734
19,1855,1794
20,1907,1838
21,1966,1896
22,2024,1940
23,2087,2000
24,2160,2064
25,2223,2133
26,2297,2197
27,2366,2262
28,2430,2319
29,2508,2397
30,2598,2483
31,2692,2574
32,2793,2678
33,2880,2779
34,2972,2873
35,3072,2977
36,3174,3083
37,3294,3203
38,3418,3335
39,3548,3460
40,3686,3589
41,3821,3731
42,3997,3869
43,4147,4016
44,4300,4183
45,4494,4343
46,4687,4521
47,4877,4746
48,5109,4959
49,5344,5211
50,5572,5480
51,5867,5758
52,6141,6057
53,6476,6349
54,6809,6711
55,7190,7075
56,7609,7474
57,8079,7922
58,8592,8427
59,9177,9012
60,9817,9656
61,10567,10410
62,11382,11318
63,12355,12239
64,13473,13351
65,14877,14726
66,16530,16362
67,18591,18436
68,21261,21080
69,24804,24713
70,29811,29667
71,37352,37214
72,49722,49608
73,72055,71898
74,116909,116700
75,210077,209739
76,403045,402577
77,784142,783636
78,1425566,1427029
